x,y,elevation,label
318146.1785,77949.45175,66.749344,land
318147.1788,77949.45175,66.789482,land
318148.1791,77949.45175,66.797897,land
318149.1793,77949.45175,66.790169,land
318150.1796,77949.45175,66.793762,land
318151.1798,77949.45175,66.782204,land
318152.1801,77949.45175,66.801888,land
318153.1804,77949.45175,66.770744,land
318154.1806,77949.45175,66.728378,land
318155.1809,77949.45175,66.6987,land
318156.1812,77949.45175,66.797287,land
318157.1814,77949.45175,66.798607,land
318158.1817,77949.45175,66.852219,land
318159.182,77949.45175,66.960167,land
318160.1822,77949.45175,67.013573,land
318161.1825,77949.45175,66.985931,land
318162.1827,77949.45175,66.999374,land
318163.183,77949.45175,67.071106,land
318164.1833,77949.45175,67.183296,land
318165.1835,77949.45175,67.245872,land
318166.1838,77949.45175,67.313583,land
318167.1841,77949.45175,67.496284,land
318168.1843,77949.45175,67.743492,land
318169.1846,77949.45175,67.965942,land
318170.1848,77949.45175,68.142303,land
318171.1851,77949.45175,68.323517,land
318172.1854,77949.45175,68.552177,land
318173.1856,77949.45175,68.65554,land
318174.1859,77949.45175,68.749496,land
318175.1862,77949.45175,68.88945,land
318176.1864,77949.45175,69.079178,land
318177.1867,77949.45175,69.221825,land
318178.187,77949.45175,69.35173,land
318179.1872,77949.45175,69.476952,land
318180.1875,77949.45175,69.532471,land
318181.1877,77949.45175,69.563019,land
318182.188,77949.45175,69.595345,land
318183.1883,77949.45175,69.757149,land
318184.1885,77949.45175,69.887032,land
318185.1888,77949.45175,69.997498,land
318186.1891,77949.45175,70.08902,land
318187.1893,77949.45175,70.130424,land
318188.1896,77949.45175,70.190567,land
318189.1898,77949.45175,70.431335,land
318190.1901,77949.45175,70.625504,land
318191.1904,77949.45175,70.742622,land
318192.1906,77949.45175,70.803307,land
318193.1909,77949.45175,70.829445,land
318194.1912,77949.45175,70.818748,land
318195.1914,77949.45175,70.78038,land
318196.1917,77949.45175,70.637268,land
318197.192,77949.45175,70.698341,land
318198.1922,77949.45175,70.964638,land
318199.1925,77949.45175,71.104248,land
